what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.team.ui,3.6.100.I20110525-0800,"org.eclipse.team.ui",1443468734525
started,bundle,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui",1443468734525
started,bundle,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console",1443468734526
started,bundle,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.editors",1443468734526
started,bundle,org.eclipse.ui.externaltools,3.2.0.v20110506,"org.eclipse.ui.externaltools",1443468734526
started,bundle,org.eclipse.ui.forms,3.5.100.v20110425,"org.eclipse.ui.forms",1443468734526
started,bundle,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.ide",1443468734527
started,bundle,org.eclipse.ui.net,1.2.100.I20110511-0800,"org.eclipse.ui.net",1443468734527
started,bundle,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views",1443468734528
started,bundle,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"org.eclipse.ui.workbench",1443468734528
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.workbench.texteditor",1443468734528
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1443468734529
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1443468734529
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1443468734529
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.200.v201103170332,"org.eclipse.wst.common.project.facet.core",1443468734529
started,bundle,org.eclipse.wst.web,1.1.500.v201104251400,"org.eclipse.wst.web",1443468734530
os,sysinfo,,,"linux",1443468734532
arch,sysinfo,,,"x86_64",1443468734532
ws,sysinfo,,,"gtk",1443468734532
locale,sysinfo,,,"en_IN",1443468734532
processors,sysinfo,,,"4",1443468734532
java.runtime.name,sysinfo,,,"OpenJDK Runtime Environment",1443468734532
java.runtime.version,sysinfo,,,"1.7.0_79-b14",1443468734532
java.specification.name,sysinfo,,,"Java Platform API Specification",1443468734532
java.specification.vendor,sysinfo,,,"Oracle Corporation",1443468734532
activated,perspective,org.eclipse.debug.ui,,"org.eclipse.debug.ui.DebugPerspective",1443468760345
started,bundle,org.eclipse.osgi,3.7.0.v20110613,"org.eclipse.osgi",1443468760346
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20110502-1955,"org.eclipse.equinox.simpleconfigurator",1443468760346
started,bundle,com.ibm.icu,4.4.2.v20110208,"com.ibm.icu",1443468760347
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1443468760347
