what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1439229170107
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1439230434576
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1439230438400
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1439230448277
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1439230448888
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1439230453037
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1439230455077
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1439230455404
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1439230461522
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1439230461638
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1439230477573
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.lineEnd",1439230480295
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1439230480932
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1439230495101
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1439230500545
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1439230502708
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1439230504309
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1439230506263
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1439230508024
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineStart",1439230510404
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1439230511177
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineStart",1439230517250
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1439230524421
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1439230526586
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1439230537774
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.newWizard",1439230541564
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1439230541597
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1439230545756
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1439231547249
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1439231554878
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.newWizard",1439231568610
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1439231568664
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1439231572425
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1439231582505
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1439231588382
opened,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1439231588567
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1439231588629
closed,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1439231590822
closed,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1439231592394
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1439231594390
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1439231616175
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1439231618567
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1439231622387
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1439231628933
opened,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1439231629077
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1439231629154
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1439231630337
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1439231634708
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1439231638494
opened,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1439231638631
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1439231638696
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1439231640216
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1439231661165
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1439231661227
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1439231662870
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1439231664542
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1439231666145
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1439231666179
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1439231667480
