what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1440003784979
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1440003784979
started,bundle,org.eclipse.wst.common.core,1.2.0.v200908252030,"org.eclipse.wst.common.core",1440003784980
started,bundle,org.eclipse.wst.common.emf,1.2.100.v201101101900,"org.eclipse.wst.common.emf",1440003784980
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.100.v201011172300,"org.eclipse.wst.common.emfworkbench.integration",1440003784981
started,bundle,org.eclipse.wst.common.frameworks,1.2.100.v201105122000,"org.eclipse.wst.common.frameworks",1440003784981
started,bundle,org.eclipse.wst.common.frameworks.ui,1.2.100.v201105122000,"org.eclipse.wst.common.frameworks.ui",1440003784981
started,bundle,org.eclipse.wst.common.modulecore,1.2.100.v201105191800,"org.eclipse.wst.common.modulecore",1440003785006
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.200.v201103170332,"org.eclipse.wst.common.project.facet.core",1440003785011
started,bundle,org.eclipse.wst.jsdt.core,1.1.100.v201104272153,"org.eclipse.wst.jsdt.core",1440003785012
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.300.v201104272153,"org.eclipse.wst.jsdt.manipulation",1440003785013
started,bundle,org.eclipse.wst.jsdt.ui,1.1.100.v201105041953,"org.eclipse.wst.jsdt.ui",1440003785036
started,bundle,org.eclipse.wst.validation,1.2.300.v201104190230,"org.eclipse.wst.validation",1440003785042
started,bundle,org.eclipse.wst.web,1.1.500.v201104251400,"org.eclipse.wst.web",1440003785043
started,bundle,org.eclipse.wst.xml.core,1.1.600.v201104251227,"org.eclipse.wst.xml.core",1440003785046
os,sysinfo,,,"linux",1440003785049
arch,sysinfo,,,"x86_64",1440003785049
ws,sysinfo,,,"gtk",1440003785049
locale,sysinfo,,,"en_IN",1440003785049
processors,sysinfo,,,"4",1440003785049
java.runtime.name,sysinfo,,,"OpenJDK Runtime Environment",1440003785049
java.runtime.version,sysinfo,,,"1.7.0_79-b14",1440003785049
java.specification.name,sysinfo,,,"Java Platform API Specification",1440003785049
java.specification.vendor,sysinfo,,,"Oracle Corporation",1440003785049
java.specification.version,sysinfo,,,"1.7",1440003785049
java.vendor,sysinfo,,,"Oracle Corporation",1440003785049
java.version,sysinfo,,,"1.7.0_79",1440003785049
java.vm.info,sysinfo,,,"mixed mode",1440003785049
java.vm.name,sysinfo,,,"OpenJDK 64-Bit Server VM",1440003785049
