what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1442770649409
executed,command,,,"AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction",1442770653368
executed,command,,,"AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction",1442770654960
executed,command,,,"AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction",1442770658721
activated,perspective,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.DebugPerspective",1442770662238
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.perspectives.showPerspective",1442770662243
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.DebugPerspective",1442770662243
activated,view,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.BreakpointView",1442770664726
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1442770667377
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1442770676798
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1442770678095
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1442770678682
activated,view,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.VariableView",1442770684981
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1442770733122
activated,view,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.DebugView",1442770750623
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.Terminate",1442770750625
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1442770752322
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1442770753641
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1442770754257
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1442770754823
activated,view,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.VariableView",1442770756929
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1442770801969
activated,view,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.VariableView",1442770847982
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1442770857624
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.selectAll",1442770858367
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1442770858701
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.selectAll",1442770870671
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1442770870989
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.selectAll",1442770885020
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1442770885373
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1442770887135
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1442770888878
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1442770890536
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1442770926282
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.selectAll",1442770927487
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1442770928374
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1442770931171
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1442770954486
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1442770955798
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1442770958110
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1442770959203
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1442770982101
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.selectAll",1442770995905
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1442770996645
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1442770997166
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1442770998931
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1442776445874
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1442776451656
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1442919659823
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1442919662215
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1442919664440
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1442919664506
closed,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1442919666958
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.700.v201104070312,"org.eclipse.jst.ws.axis.creation.ui",1442919668793
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.505.v201004211805,"org.eclipse.jst.ws.axis.consumption.ui",1442919668808
stopped,bundle,org.eclipse.jst.ws.axis.consumption.core,1.0.407.v201104071820,"org.eclipse.jst.ws.axis.consumption.core",1442919668815
stopped,bundle,org.eclipse.jst.ws.axis2.creation.ui,1.0.104.v201004211805,"org.eclipse.jst.ws.axis2.creation.ui",1442919668832
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.ui,1.0.103.v201004211805,"org.eclipse.jst.ws.axis2.consumption.ui",1442919668855
stopped,bundle,org.eclipse.jst.ws.axis2.creation.core,1.0.106.v201004211805,"org.eclipse.jst.ws.axis2.creation.core",1442919668870
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.core,1.0.105.v201004211805,"org.eclipse.jst.ws.axis2.consumption.core",1442919668887
stopped,bundle,org.eclipse.jst.ws.axis2.ui,1.0.303.v201003110431,"org.eclipse.jst.ws.axis2.ui",1442919668893
