what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1442465345071
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1442465360597
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1442465361681
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1442465368189
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1442465375293
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1442465375382
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1442465379152
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1442465381555
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1442465382190
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1442465384209
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1442465388382
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1442465394417
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1442465408950
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1442465411981
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1442465412742
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1442465413772
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1442465418883
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1442465436949
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1442465436984
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1442465513674
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1442465514723
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1442465517233
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1442465521782
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1442465522408
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1442465530798
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1442465535225
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1442465535353
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1442465579492
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1442465582182
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1442465583526
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1442465589410
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1442465591420
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1442465592866
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1442465615783
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1442465617506
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1442465618347
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1442465618697
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1442465620619
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1442465634442
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1442465635795
